provcd,countyid,cid,age,health,minority,stateown,collective,private,foreign,formal,part_time,mwage_atax,bcollar,wcollar,service,week_whours,employ,familysize,BJ,TJ,HeB,ShX,NMG,LN,JN,HLJ,SH,JS,ZJ,AnH,FJ,JX,ShD,HeN,HuB,HuN,GuD,GuX,HaN,ChQ,SiCh,GuZ,YunN,XZ,ShaX,GS,QinH,NinX,XinJ,lnwage,experience,urban,gender,hukou,spouse,edu,military1,party1,evsmoke1,agri_job,gsubsidy,gsubsidy_amount,subsidy,lnsubsidy,lngsubsidy,employ_w,good_job
福建省,1281,,28,2,0,0,0,0,0,0,1,5000,1,0,0,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0
辽宁省,150,830480,32,2,0,1,0,0,0,0,1,4000,0,0,0,40,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0
辽宁省,150,830480,31,1,0,1,0,0,0,0,1,3400,0,1,0,40,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,1,1,1,1,4,0,0,0,0,0,0,0,0,0,1,1
辽宁省,609,,21,3,0,0,0,1,0,0,0,2000,0,0,0,80,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0
河北省,261,286727,36,3,0,1,0,0,0,0,1,3800,0,1,0,65,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,1
浙江省,1030,796573,30,3,0,0,0,1,0,0,1,12000,0,0,0,70,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,1,1,1,0,4,0,0,1,0,0,0,0,0,0,1,0
上海市,90,203200,40,5,0,0,0,0,0,0,1,2420,0,0,0,48,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
上海市,95,205300,36,2,0,0,0,1,0,0,1,3500,1,0,0,30,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,1,1,1,3,0,0,1,0,0,0,50000,8,0,1,0
上海市,95,205300,36,5,0,0,0,0,1,0,1,6000,0,0,1,44,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,0,0,1,4,0,0,0,0,0,0,50000,8,0,1,0
上海市,95,205300,60,4,0,0,1,0,0,0,0,1000,0,0,0,20,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44,0,0,1,1,3,0,0,0,0,0,0,50000,8,0,1,0
浙江省,36,475857,31,3,0,0,0,1,0,0,1,3300,1,0,0,48,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,1,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0
浙江省,35,113800,56,3,0,0,0,0,0,0,0,1000,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,40,0,0,0,1,0,0,0,0,1,1,200,200,3,3,1,0
浙江省,35,113800,56,3,0,0,0,1,0,0,0,2500,1,0,0,72,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,40,0,1,0,1,2,0,0,1,1,1,200,200,3,3,1,0
福建省,27,110800,30,2,0,0,0,0,0,0,1,3900,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,1,2,0,0,0,1,1,0,0,0,0,1,0
浙江省,8866,869731,33,4,0,0,0,0,0,0,1,100000,0,0,1,70,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,1,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0
